table name,index name,column
active_storage_blobs,active_storage_blobs_pkey,id
active_storage_blobs,index_active_storage_blobs_on_key,key
aati_work_stoppage_durations,aati_work_stoppage_durations_pkey,id
aati_work_stoppage_durations,index_aati_work_stoppage_durations_on_created_at,created_at
aati_work_stoppage_durations,unique_work_stoppage_durations,version_id
aati_work_stoppage_reasons,aati_work_stoppage_reasons_pkey,id
aati_work_stoppage_reasons,index_aati_work_stoppage_reasons_on_created_at,created_at
aati_work_stoppage_reasons,unique_work_stoppage_reasons,version_id
account_agenda_preferences,account_agenda_preferences_pkey,id
account_agenda_preferences,index_account_agenda_preferences_on_account_id,account_id
account_creation_permissions,account_creation_permissions_pkey,id
account_creation_permissions,index_account_creation_permissions_on_account_id,account_id
account_creation_permissions,index_account_creation_permissions_on_expired_at,expired_at
account_creation_permissions,index_account_creation_permissions_on_granted_by_id,granted_by_id
account_creation_permissions,index_account_creation_permissions_on_organization_id,organization_id
accounts_for_desynchronized_users_detections,accounts_for_desynchronized_users_detections_pkey,id
accounts_for_desynchronized_users_detections,afdud_id_ticket_not_null_index,id
accounts_for_desynchronized_users_detections,afdud_user_id_hashed_email_index,user_id
accounts_for_desynchronized_users_detections,afdud_user_id_hashed_email_index,hashed_email
account_agenda_notifications,account_agenda_notifications_pkey,id
account_agenda_notifications,index_account_agenda_notifications_on_account_id,account_id
account_agenda_notifications,index_account_agenda_notifications_on_agenda_id,agenda_id
account_agenda_notifications,index_account_notifications_on_account_id_agenda_id,account_id
account_agenda_notifications,index_account_notifications_on_account_id_agenda_id,agenda_id
active_storage_attachments,active_storage_attachments_pkey,id
active_storage_attachments,index_active_storage_attachments_uniqueness,name
active_storage_attachments,index_active_storage_attachments_uniqueness,record_type
active_storage_attachments,index_active_storage_attachments_uniqueness,record_id
active_storage_attachments,index_active_storage_attachments_uniqueness,blob_id
accounts_master_patients,accounts_master_patients_pkey,id
accounts_master_patients,index_accounts_master_patients,account_id
accounts_master_patients,index_accounts_master_patients,master_patient_id
accounts_master_patients,index_accounts_master_patients_on_account_id,account_id
accounts_master_patients,index_accounts_master_patients_on_master_patient_id,master_patient_id
activity_page_best_action_key_performance_indicators,activity_page_best_action_key_performance_indicators_pkey,id
activity_page_best_action_key_performance_indicators,index_activity_page_best_action_kpi_on_best_action_and_kpi,best_action_id
activity_page_best_action_key_performance_indicators,index_activity_page_best_action_kpi_on_best_action_and_kpi,key_performance_indicator_id
activity_page_best_action_key_performance_indicators,index_best_action_key_performance_indicators_on_best_action_id,best_action_id
activity_page_best_action_key_performance_indicators,index_best_action_key_performance_indicators_on_kpi_id,key_performance_indicator_id
act_metadata,act_metadata_pkey,id
act_metadata,index_act_metadata_on_document_id,document_id
